15-10-2009	38
16-10-2009	42
17-10-2009	42
18-10-2009	42
19-10-2009	38
20-10-2009	38
21-10-2009	40
22-10-2009	41
23-10-2009	41
24-10-2009	38
25-10-2009	38
26-10-2009	37
27-10-2009	37
28-10-2009	37
29-10-2009	37
30-10-2009	37
31-10-2009	37
01-11-2009	37
02-11-2009	35
03-11-2009	37
04-11-2009	40
05-11-2009	40
06-11-2009	42
07-11-2009	33
08-11-2009	33
09-11-2009	34
10-11-2009	62
11-11-2009	39
12-11-2009	39
12-11-2009	39
13-11-2009	34
14-11-2009	34
15-11-2009	34
16-11-2009	34
17-11-2009	34
18-11-2009	36
19-11-2009	36
20-11-2009	36
21-11-2009	36
22-11-2009	36
23-11-2009	36
24-11-2009	45
25-11-2009	46
26-11-2009	46
27-11-2009	46
28-11-2009	46
29-11-2009	46
30-11-2009	46
01-12-2009	45
02-12-2009	42
03-12-2009	42
04-12-2009	44
05-12-2009	44
07-12-2009	44
08-12-2009	44
08-12-2009	44
09-12-2009	44
10-12-2009	44
11-12-2009	44
12-12-2009	44
13-12-2009	44
14-12-2009	44
15-12-2009	44
16-12-2009	44
20-12-2009	33
21-12-2009	33
22-12-2009	34
23-12-2009	34
24-12-2009	34
25-12-2009	34
26-12-2009	34
27-12-2009	34
28-12-2009	34
29-12-2009	34
30-12-2009	34
31-12-2009	34
02-01-2010	34
03-01-2010	34
04-01-2010	34
05-01-2010	34
06-01-2010	34
07-01-2010	34
08-01-2010	34
09-01-2010	34
10-01-2010	34
10-01-2010	34
11-01-2010	35
12-01-2010	35
13-01-2010	35
14-01-2010	35
15-01-2010	35
16-01-2010	35
17-01-2010	35
18-01-2010	35
19-01-2010	35
20-01-2010	35
21-01-2010	35
22-01-2010	37
23-01-2010	37
24-01-2010	37
25-01-2010	37
26-01-2010	37
27-01-2010	36
28-01-2010	36
29-01-2010	36
30-01-2010	36
31-01-2010	36
04-02-2010	36
05-02-2010	36
06-02-2010	36
07-02-2010	36
08-02-2010	36
16-02-2010	36
17-02-2010	36
18-02-2010	36
